Pre Match.match_num,Pre Match.teamNum,Pre Match.allianceColor,Auton.autonCoral L4,Auton.autonCoral L3,Auton.autonCoral L2,Auton.autonCoral L1,Auton.autonCoralMissed,Auton.autonProc,Auton.autonNet,Match.matchCoral L4,Match.matchCoral L3,Match.matchCoral L2,Match.matchCoral L1,Match.MatchCoralMissed,Match.matchProc,Match.matchNet
31,10157,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,973,blueAlliance,2,0,0,0,1,0,0,3,4,0,0,0,0,2
31,973,blueAlliance,2,0,0,0,1,0,0,3,4,0,0,0,0,2
31,1241,redAlliance,4,0,0,0,0,0,0,4,6,3,0,1,2,0
32,5013,blueAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3130,redAlliance,0,0,0,0,1,0,0,4,5,4,0,0,0,0
32,70,blueAlliance,1,0,0,0,0,0,0,3,2,1,0,1,1,2
32,9496,redAlliance,3,0,0,0,0,0,0,3,3,5,1,0,2,1
32,3970,blueAlliance,2,0,0,0,2,0,3,5,8,6,0,0,0,0
32,2075,redAlliance,2,0,0,0,0,0,0,0,4,4,0,0,0,2
33,2080,redAlliance,0,0,0,0,0,0,0,1,2,0,0,1,0,0
33,2080,redAlliance,0,0,0,0,0,0,0,1,2,0,0,1,0,0
33,3045,blueAlliance,2,0,0,0,1,0,2,1,0,0,0,0,0,0
33,2383,redAlliance,2,0,0,0,0,0,0,4,2,3,0,1,2,0
33,9245,blueAlliance,0,0,0,0,0,0,0,0,0,6,2,0,0,0
33,1700,redAlliance,0,0,0,0,0,0,0,1,0,0,1,3,0,0
34,5181,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,2
34,5987,blueAlliance,1,0,0,0,1,0,0,5,3,0,0,3,0,0
34,2470,blueAlliance,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,5181,redAlliance,1,0,0,0,0,0,0,0,0,2,0,0,0,2
34,888,redAlliance,3,0,0,0,0,0,0,1,4,0,1,0,0,0
34,7632,redAlliance,4,0,0,0,0,0,0,3,7,0,0,3,0,0
35,2200,redAlliance,3,0,0,0,0,0,0,4,6,6,0,0,0,0
35,1902,blueAlliance,0,0,0,0,0,0,0,0,3,5,3,0,1,0
35,2706,blueAlliance,0,0,0,0,1,0,0,5,1,2,0,2,0,0
35,3473,redAlliance,1,0,0,0,0,0,0,1,3,1,1,2,0,0
35,2960,redAlliance,0,0,0,0,1,0,0,3,1,2,0,0,7,0
36,9635,redAlliance,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,2522,blueAlliance,3,0,0,0,0,0,0,3,5,3,0,3,0,0
36,5817,redAlliance,1,0,0,0,0,0,0,5,5,1,1,2,1,0
36,33,blueAlliance,1,0,0,0,0,0,0,3,0,0,0,0,0,0
36,5817,redAlliance,1,0,0,0,0,0,0,5,5,1,1,3,2,0
36,3339,redAlliance,0,0,0,0,3,0,0,6,7,4,1,0,0,4
37,2485,blueAlliance,0,0,0,0,1,0,0,6,1,0,0,4,0,0
37,6652,blueAlliance,0,0,0,0,0,0,0,2,0,0,2,2,0,0
37,5736,redAlliance,1,0,0,0,2,0,0,5,2,3,0,3,0,0
37,5736,redAlliance,3,0,0,0,0,0,0,3,3,2,0,3,0,0
37,3970,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1506,redAlliance,3,0,0,0,0,0,0,4,3,1,0,1,0,4
38,9134,blueAlliance,1,0,0,0,0,0,0,3,3,0,0,0,1,0
38,8177,redAlliance,1,0,0,0,1,0,0,2,3,1,1,0,0,0
38,10224,redAlliance,0,0,0,0,1,0,0,1,2,1,0,0,2,0
38,467,redAlliance,2,1,0,0,0,0,0,3,1,3,0,9,0,0
39,195,redAlliance,3,0,0,0,0,0,0,2,0,0,0,0,0,0
39,9450,blueAlliance,1,0,0,0,0,0,0,8,2,0,0,0,0,0
39,5193,redAlliance,0,0,0,0,1,0,0,0,1,0,0,1,0,0
39,8570,redAlliance,0,2,0,0,0,0,0,0,6,3,1,0,0,0
39,195,redAlliance,3,0,0,0,0,0,0,3,0,0,0,0,0,0
40,2877,blueAlliance,3,0,0,0,0,0,0,7,6,0,0,1,0,0
40,70,redAlliance,2,0,0,0,0,0,0,4,2,1,0,1,0,0
40,7902,redAlliance,0,2,0,0,0,0,0,1,4,4,2,0,0,0
40,7902,redAlliance,0,2,0,0,0,0,0,0,5,4,0,1,1,0
40,3814,redAlliance,0,0,0,0,0,0,0,3,0,2,0,1,0,0
41,2767,blueAlliance,3,0,0,0,0,0,0,1,5,4,0,0,2,6
41,2075,redAlliance,3,0,0,0,0,0,0,1,4,6,0,0,0,1
41,4009,redAlliance,0,0,0,0,0,0,0,2,3,5,0,0,0,0
41,4907,redAlliance,3,0,0,0,0,0,0,1,5,0,0,0,2,2
41,973,blueAlliance,3,0,0,1,1,0,0,2,6,3,0,0,0,3
42,4728,blueAlliance,0,0,0,0,1,0,0,3,4,2,0,0,1,0
42,1768,blueAlliance,2,0,0,0,0,0,0,3,6,4,0,3,0,1
42,51,redAlliance,1,0,0,0,0,0,1,1,2,4,0,1,0,0
42,3045,redAlliance,0,0,0,0,2,0,0,5,4,5,0,0,0,0
42,230,redAlliance,1,0,0,0,0,0,0,1,5,2,0,0,2,0
42,3130,blueAlliance,2,0,0,0,1,0,0,2,1,3,0,1,0,0
42,9545,blueAlliance,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,1902,redAlliance,0,0,0,0,3,0,0,0,5,4,0,0,1,0
43,2960,redAlliance,2,0,0,0,0,0,0,2,0,0,0,3,0,0
43,8595,blueAlliance,0,0,0,0,1,0,1,0,0,0,0,0,2,2
43,3928,redAlliance,0,0,0,0,0,0,0,3,2,1,0,0,1,0
43,1241,blueAlliance,1,0,0,0,1,0,0,6,6,5,2,5,0,0
